id,poziom,Zdanie,Zagadnienie,TIP ENG,TIP PL,Correct,Incorrect,Incorrect 2,Incorrect 3
1,a1,I ___ a student.,to be,The verb “to be” is irregular.,,am,is,,
2,a1,You ___  a teacher.,to be,The verb “to be” is irregular.,,are,is,,
3,a1,She ___  a dancer.,to be,The verb “to be” is irregular.,,is,are,,
4,a1,He ___  a driver.,to be,The verb “to be” is irregular.,,is,are,,
5,a1,We ___ singers.,to be,The verb “to be” is irregular.,,are,is,,
6,a1,They ___ rich.,to be,The verb “to be” is irregular.,,are,is,,
7,a1,I ___ 20 years old.,to be,We have to use the verb to be when talking about our ages.,,am,have,,
8,a1,She ___  35 years old.,to be,We have to use the verb to be when talking about our ages.,,is,has,,
9,a1,They ___ 40 years old.,to be,We have to use the verb to be when talking about our ages.,,are,have,,
10,a1,She ___ to the gym twice a week.,present simple,We use the present simple for things that we do regularly.,,goes,is going,,
11,a1,Water ___ at 100o C.,present simple,We use the present simple for things that are true in general.,,boils,is boiling,,
12,a1,He ___  in a bank.,present simple,We use the present simple for situations which are permanent.,,works,is working,,
13,a1,I ___  to go home.,present simple,We use the present simple with stative verbs.,,want,’m wanting,,
14,a1,Look! Jane ___ with Henry.,present continuous,We use the present continuous to talk about activities at the moment of speaking.,,is dancing,dances,,
15,a1,They ___ for a taxi.,present continuous,We use the present continuous to talk about activities at the moment of speaking.,,are waiting,wait,,
16,a1,Please be quiet I ___ .,present continuous,We use the present continuous to talk about activities at the moment of speaking.,,’m reading,read,,
17,a1,She ___ breakfast now.,present continuous,We use the present continuous to talk about activities at the moment of speaking.,,’s having,has,have,’s haveing_ if the verb ends in an E we remove the E and add ING
18,a1,They ___ at the monkey.,present continuous,We use the present continuous to talk about activities at the moment of speaking.,,are looking,look,,
19,a1,"Excuse me, how much is ___ book?",demonstrative adjective,We use this to talk about something which is near you.,,this,these,,
20,a1,___ house across the street is really big.,demonstrative adjective,We use that to talk about one thing which is far from you.,,that,this,,
21,a1,"Excuse me, how much are ___ books?",demonstrative adjective,We use these to talk about two or more things which are near you.  ,,these,this,,
22,a1,How much are ___ apples over there?,demonstrative adjective,We use those to talk about two or more things which are far from you.,,those,these,,
23,a1,Tom is ___ than Carol. ,comparatives,We usually add –er  to one-syllable words to make comparatives.,,taller,the tallest,,
24,a1,Are elephants ___  than lions?,comparatives,We usually add –er  to one-syllable words to make comparatives.,,stronger,the strongest,,
25,a1,My house is ___  than yours.,comparatives,We double the consonant if an adjective ends in a vowel and a consonant.,,bigger,biger,,
26,a1,Pandas are ___  than lions,comparatives,We double the consonant if an adjective ends in a vowel and a consonant,,fatter,fater,,
27,a1,Dogs are usually ___  than cats.,comparatives,We change –y to –i if an adjective ends in a consonant and –y.,,heavier,heavyer,,
28,a1,She is ___  at Spanish than me. ,comparatives,"Some adjectives (e.g. good, bad) have irregular comparatives.",,better,gooder,,
29,a1,Today the weather is ___  than yesterday.,comparatives,"Some adjectives (e.g. good, bad) have irregular comparatives.",,worse,badder,,
30,a1,Chris is ___ boy in our group. ,superlatives,We usually add –est  to one-syllable words to make superlatives.,,the oldest,older,,
31,a1,It was ___   meal ever!,superlatives,"Some adjectives (e.g. good, bad) have irregular superlatives.",,the worst,the baddest,,
32,a1,It was ___  lesson ever!,superlatives,"Some adjectives (e.g. good, bad) have irregular superlatives.",,the best,the goodest,,
33,a1,There ___  a wallet on the desk.,there is/are,We use there is when the noun is singular.,,is,are,,
34,a1,There ___  a big tree in the garden,there is/are,We use there is when the noun is singular.,,is,are,,
35,a1,There ___  some milk in the fridge.,there is/are,We use there is when the noun is uncountable.,,is,are,,
36,a1,There ___  two dogs in the garden,there is/are,We use there are when the noun is plural.,,are,is,,
37,a1,There ___  five apples on the table.,there is/are,We use there are when the noun is plural.,,are,is,,
38,a1,How ___ books have you got?,how much/how many,We use how many with countable nouns.,,many,much,,
39,a1,How ___ friends have you got?,how much/how many,We use how many with countable nouns.,,many,much,,
40,a1,How ___ milk is there?,how much/how many,We use how much with uncountable nouns.,,much,many,,
41,a1,How ___ money have you got?,how much/how many,We use how much with uncountable nouns.,,much,many,,
42,a1,He ___ sad yesterday.,past simple to be positive,"We use was with I, he, she, it when speaking of the past.",,was,were,,
43,a1,I ___  in Spain last spring.,past simple to be positive,"We use was with I, he, she, it when speaking of the past.",,was,were,,
44,a1,The weather ___ cold yesterday.,past simple to be positive,"We use was with I, he, she, it when speaking of the past.",,was,were,,
45,a1,We ___  in the USA last year.,past simple to be positive,"We use were with you, we, they when speaking of the past.",,were,was,,
46,a1,They ___  in the museum yesterday.,past simple to be positive,"We use were with you, we, they when speaking of the past.",,were,was,,
47,a1,I ___ for an exam yesterday.,past simple regular positive,"When a verb ends in consonant + y, we change the y to i and add -ed.",,studied,studyed,,
48,a1,He ___  a game last week.,past simple regular positive,"When a verb ends in vowel + y, we add -ed.",,played,plaied,,
49,a1,I ___  eating sweets.,past simple regular positive,"When a one-syllable verb ends in vowel + consonant, we double the consonant.",,stopped,stoped,,
50,a1,I ___  to my teacher yesterday.,past simple regular positive,We add -ed to a verb to change it to the past tense.,,talked,talk,,
51,a1,We ___ four cakes last week,past simple regular positive,When a verb ends in e we add only d.,,baked,bakeed,,
52,a1,They ___  to the park last Sunday.,past simple irregular positive,Go is an irregular verb.,,went,goed,,
53,a1,She ___  her homework last Friday.,past simple irregular positive,Do is an irregular verb.,,did,does,,
54,a1,They ___  new clothes last Saturday.,past simple irregular positive,Buy is an irregular verb.,,bought,buyed,,
55,a1,He ___  a big house last year.,past simple irregular positive,Build is an irregular verb.,,built,builded,,
56,a1,She___   four cups of coffee yesterday.,past simple irregular positive,Drink is an irregular verb.,,drank,drinked,,
57,a1,They ___  a difficult test yesterday.,past simple irregular positive,Have is an irregular verb.,,had,haved,,
58,a1,She ___  a beautiful gift last Christmas.,past simple irregular positive,Get is an irregular verb.,,got,getted,,
59,a1,He ___  early yesterday.,past simple irregular positive,Leave is an irregular verb.,,left,leaved,,
60,a1,She ___   me a kiss yesterday.,past simple irregular positive,Give is an irregular verb.,,gave,gived,,
61,a1,Does she like___   new car? (she),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,her,his,,
62,a1,Have you met ___    doctor? (I),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,my,mine,,
63,a1,Is this ___ cat? (you),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,your,yours,,
64,a1,This is ___  house. (they),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,their,theirs,,
65,a1,I love  ___ new flat. (we),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,our,ours,,
66,a1,He likes ___  new watch. (he),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,his,him,,
67,a1,This is ___  key.,possesive 's,We use ‘s to show that one person/thing owns something.,,Mike's,Mike,,
68,a1,My ___  flat was expensive.,possesive 's,We use an apostrophe after s at the end of a plural noun to show possession.,,parents',parents's,,
69,a1,The ___  toys are upstairs.,possesive 's,We add an apostrophe + s to create the possessive form of a plural noun which doesn’t end in s.,,children's,childrens,,
70,a1,Would you like ___  water?,common uncountable nouns,Water is uncountable.,,some ,a,,
71,a1,There's ___  milk in the fridge.,common uncountable nouns,Milk is uncountable.,,some ,a,,
72,a1,This sauce is served with___  rice.,common uncountable nouns,Rice is uncountable.,,-,a,,
73,a1,She had ___  sand in her shoe.,common uncountable nouns,Sand is uncountable.,,-,a,,
74,a1,She has blond___ .,common uncountable nouns,Hair is uncountable.,,hair,hairs,,
75,a1,Would you like ___  bread?,common uncountable nouns,Bread is uncountable.,,some ,a,,
76,a1,She likes ___ .,verb + ing,"After like, love, hate we usually use the verb with ing.",,dancing,dance,,
77,a1,They hate ___ vegetables.,verb + ing,"After like, love, hate we usually use the verb with ing.",,eating,eat,,
78,a1,I love ___  new people.,verb + ing,"After like, love, hate we usually use the verb with ing.",,meeting,meet,,
79,a1,He loves ___ video games.,verb + ing,"After like, love, hate we usually use the verb with ing.",,playing,play,,
80,a1,We  like ___  to the cinema.,verb + ing,"After like, love, hate we usually use the verb with ing.",,going,go,,